Record,Funder,CIF,EntityGeneral,Entity,Type,TypeSpecific,Lat,Long,ProjectTitle,EnBudget,EnSubsidy,ProjectBudget,ProjectSubsidy,Approved,Year
IMIDCA/2020/52,IVACE,B97696066,"VICENTE TORRES SANCHEZ, SL","VICENTE TORRES SANCHEZ, SL",Private for-profit,Private for-profit,39 35 08,0 19 40,Desarrollo de nuevas soluciones para el ensamblaje de paneles prefabricados de madera WOOD2WOOD,100982.5,60589.5,215179,129107.4,1,2020
,,,,,,,,,,,,,,,
INNEST/2021/87,AVI,A12013090,VERNIS SA,VERNIS SA,Private for-profit,Private for-profit,39 58 16,0 14 35,OBTENCIÓN DE SUPERFICIES CON FUNCIONALIDAD BACERICIDA Y VIRICIDA,115095.07,57547.54,716673.54,611690.26,1,2021
,,,,,,,,,,,,,,,
INNEST/2021/52,AVI,B12536017,"VERDIFRESH, SL","VERDIFRESH, SL",Private for-profit,Private for-profit,39 28 26,0 33 23,FOTÓNICA INTEGRADA PARA EL CONTROL MICROBIOLÓGICO INTEGRAL EN EL SECTOR AGROALIMENTARIO (BACTERIO),108017.5,43207,703960.88,429886.66,1,2021
IMIDCA/2021/60,IVACE,B96534805,VARESER 96 SOCIEDAD LIMITADA,VARESER 96 SOCIEDAD LIMITADA,Private for-profit,Private for-profit,39 27 06,0 21 34,"INVESTIGACIÓN INDUSTRIAL Y DESARROLLO EXPERIMENTAL DE SISTEMAS DE DESINFECCIÓN AÉREOS EN BASE A OZONO Y PERÓXIDO DE HIDRÓGENO APLICABLES A GRAN ESCALA EN
MEDIOS DE TRANSPORTES DE PERSONAS EN CONDICION",102077,40830.8,196435,88009.8,1,2021
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INNEST/2022/189,AVI,B98495435,VALGENETICS SOCIEDAD LIMITADA,VALGENETICS SOCIEDAD LIMITADA,Private for-profit,Small company,39 30 57,0 25 19,DESARROLLO DE UN SENSOR PORTATIL PARA LA DETECCION TEMPRANA DE BOTRYTIS CINEREA EN EL VINEDO,136337.47,81802.49,619373.46,564838.48,1,2022
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
IMIDCA/2016/10,IVACE,B83169466,"VALENCIA MODULOS DE PUERTA, SL","VALENCIA MODULOS DE PUERTA, SL",Private for-profit,Private for-profit,39 18 39,0 25 11,Intelligent milling,159875,37231.68,232424,67644.93,1,2016
INNEST/2021/137,AVI,B46837274,VALAUTOMCION SL,VALAUTOMCION SL,Private for-profit,Private for-profit,39 18 22,0 25 07,DEMOSTRADOR TECNOLÓGICO DE UN PAQUETE DE BATERÍAS PARA VEHÍCULO ELÉCTRICO,306040.95,153020.5,1978933.64,1231670.77,1,2021
INNEST/2020/11,AVI,A31008766,UVE SA,UVE SA,Private for-profit,Private for-profit,39 22 06,0 26 03,Desarrollo de estrategias basadas en mejoras de proceso para reducir la incidencia de miopatias y un prototipo para la discriminación de canales por detección de miopatias del pectoral profundo (dpm) a niveles de angina (musculo rojo) o infarto (musc,154945.97,77472.99,754920.9,482954.34,1,2020
,,,,,,,,,,,,,,,
INNCAD00/19/012,AVI,A31008766,UVE SA,UVE SA,Private for-profit,Private for-profit,39 22 06,0 26 03,Desarrollo experimental de una bandeja generadora de CO2 para aumentar la vida útil de carne de ave envasada - AVICO2 (2),216092.76,54023.19,603299.34,189545.5,1,2019
INNEST/2020/119,AVI,B96651948,UVAX CONCEPTS SL,UVAX CONCEPTS SL,Private for-profit,Private for-profit,39 31 30,0 27 40,Diagnostics and Online System for a Linear Injector of Carbon 6+ ions for hadrontherapy,184157.92,110494.75,646691.47,508948.3,1,2020
INNCAD/2021/47,AVI,B96651948,UVAX CONCEPTS SL,UVAX CONCEPTS SL,Private for-profit,Private for-profit,39 31 30,0 27 40,"PLATAFORMA SMART BUILDING FLEXIBLE, ABIERTA Y ENFOCADA A LA OPTIMIZACIÓN ENERGÉTICA Y EL CONFORT DE EDIFICIOS",123829.35,74297.61,382427.784,244587.67,1,2021
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INNEST/2021/226,AVI,Q4618002B,UNIVERSITAT POLITECNICA DE VALENCIA,ai2,University,University,39 28 52,0 21 30,PLATAFORMA MODULAR PARA EL DESPLIEGUE Y GESTIÓN DE FLOTAS DE VEHÍCULOS AUTÓNOMOS Y ROBOTS LOGÍSTICOS EN PYMES,187380.1,187380.1,621219.04,524944.23,1,2021
,,,,,,,,,,,,,,,
INNEST/2022/215,AVI,Q4618002B,UNIVERSITAT POLITECNICA DE VALENCIA,ai2,University,University,39 28 52,0 21 30,PLATAFORMA PARA LA ADQUISICIÓN Y EXPLOTACIÓN DE DATOS DE ROBOTS EN SISTEMAS DE FABRICACIÓN DIRIGIDOS POR LOS DATOS (DATA DRIVEN MANUFACTURING),199743.39,199743.39,826725.92,493425.46,1,2022
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INNEST/2021/338,AVI,Q4618003B,UNIVERSITAT POLITECNICA DE VALENCIA,CAMA,University,University,39 28 52,0 21 30,FOTÓNICA INTEGRADA PARA EL CONTROL MICROBIOLÓGICO INTEGRAL EN EL SECTOR AGROALIMENTARIO (BACTERIO),184994.58,184994.58,703960.88,429886.66,1,2021
INNEST/2022/245,AVI,Q4618004B,UNIVERSITAT POLITECNICA DE VALENCIA,Ci2B,University,University,39 28 52,0 21 30,DESARROLLO DE UNA TECNOLOGÍA DE BIOSENSORES PARA LA DETECCIÓN DE BACTERIAS EN AGUA POTABLE,163209.66,163209.66,586921.71,392200.83,1,2022
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INNEST/2021/365,AVI,Q4618004B,UNIVERSITAT POLITECNICA DE VALENCIA,Ci2B,University,University,39 28 52,0 21 30,"PLATAFORMA INTELIGENTE PARA LA DETECCIÓN TEMPRANA, AYUDA AL DIAGNÓSTICO Y SEGUIMIENTO DE LA SARCOPENIA",176785.77,176785.77,880546.08,770033.42,1,2021
,,,,,,,,,,,,,,,
INNEST/2022/214,AVI,Q4618104B,UNIVERSITAT POLITECNICA DE VALENCIA,CITG,University,University,39 28 52,0 21 30,INVESTIGACIÓN DE NUEVOS COLORANTES NATURALES DE APLICACIÓN EN TEXTILES  VEGETALES Y BIOMATERIALES ALTERNATIVOS AL CUERO PARA LA OBTENCIÓN DE PRODUCTOS DEL SECTOR MODA-COMPLEMENTOS Y CALZADO,145066.88,145066.88,786092.83,503503.9,1,2022
INNEST/2021/120,AVI,Q4618005B,UNIVERSITAT POLITECNICA DE VALENCIA,CMT-Motores Térmicos,University,University,39 28 52,0 21 30,DEMOSTRADOR TECNOLÓGICO DE UN PAQUETE DE BATERÍAS PARA VEHÍCULO ELÉCTRICO,419005.92,419005.92,1978933.64,1231670.77,1,2021
,,,,,,,,,,,,,,,
INNEST/2021/221,AVI,Q4618005B,UNIVERSITAT POLITECNICA DE VALENCIA,CMT-Motores Térmicos,University,University,39 28 52,0 21 30,INTEGRACIÓN Y FABRICACIÓN DE UN PROTOTIPO DEL SISTEMA PROPULSIVO DE HYPERLOOP MEDIANTE UN TURBORREACTOR Y UN TREN DE POTENTICA DE VEHÍCULO ELÉCTRICO (2),173017.13,173017.13,902162.37,627099.65,1,2021
,,,,,,,,,,,,,,,
INNEST/2022/229,AVI,Q4618005B,UNIVERSITAT POLITECNICA DE VALENCIA,CMT-Motores Térmicos,University,University,39 28 52,0 21 30,INVESTIGACIÓN EN ALMACENAMIENTO DE ALTAS PRESTACIONES PARA MOVILIDAD ELÉCTRICA PESADA DE ALTA POTENCIA,166773.22,166773.22,826725.05,644871.15,1,2022
INNEST/2022/368,AVI,Q4618005B,UNIVERSITAT POLITECNICA DE VALENCIA,CMT-Motores Térmicos,University,University,39 28 52,0 21 30,INVESTIGACIÓN Y DESARROLLO DE TECNOLOGÍAS INTELIGENTES PARA RECARGA EN MOVILIDAD SOSTENIBLE,242635.04,242635.04,1352257.2,927444.36,1,2022
INNEST/2022/224,AVI,Q4618006B,UNIVERSITAT POLITECNICA DE VALENCIA,COMAV-UPV,University,University,39 28 52,0 21 30,DESARROLLOS DE PRODUCTOS COMPOSTABLES SÍMIL CARTÓN A PARTIR DE SUBPRODUCTOS AGRÍCOLAS PROCEDENTES DEL SECTOR VITIVINÍCOLA,114000.67,114000.67,529984.24,421227.3,1,2022
,,,,,,,,,,,,,,,
INNEST/2021/352,AVI,Q4618007B,UNIVERSITAT POLITECNICA DE VALENCIA,CTF,University,University,39 28 52,0 21 30,DESARROLLO DE NÚCLEOS DE POLIURETANO (PUR) RECICLADO A PARTIR DE COLCHONES FUERA DE USO (CFU) PARA UNA CONSTRUCCIÓN SOSTENIBLE DE ALTO VALOR AÑADIDO,101184.22,101184.22,655226.2,485371.53,1,2021
INNEST/2022/332,AVI,Q4618008B,UNIVERSITAT POLITECNICA DE VALENCIA,CVER,University,University,39 28 52,0 21 30,DESARROLLO DE UN SISTEMA DE PASTEURIZACIÓN MODULAR CON TECNOLOGÍAS DE RECUPERACIÓN DE CALOR PARA LA MÁXIMA EFICIENCIA EN EL TRATAMIENTO DE LODOS DESHIDRATADOS DE DEPURADORA Y SU REVALORIZACIÓN AGRÍCOLA,87673.26,87673.26,500873.83,317129.86,1,2022
INNEST/2021/238,AVI,Q4618008B,UNIVERSITAT POLITECNICA DE VALENCIA,CVER,University,University,39 28 52,0 21 30,NUEVA ESTRATEGIA DE CONTROL DE PSEUDOCÓCCIDOS Y HORMIGAS EN CÍTRICOS Y CAQUI MEIDANTE TRATAMIENTOS DIANA DE RESIDUO CERO CON INSECTICIDAS MICROENCAPSULADOS EN RECUBRIMIENTOS POLIMÉRICO-MINERALES ACUOSOS,192868.53,192868.53,684250.09,589548.41,1,2021
INNEST/2021/175,AVI,Q4618009B,UNIVERSITAT POLITECNICA DE VALENCIA,Departamento De Comunicaciones,University,University,39 28 52,0 21 30,ARQUITECTURA DE GEMELOS DIGITALES Y SERVICIOS DE APRENDIZAJE AUTOMÁTICO PARA LA PLANIFICACIÓN EN EL TRANSPORTE TERRESTRE DE MERCANCÍAS,90000,90000,530000,400000,1,2021
,,,,,,,,,,,,,,,
INNEST/2021/170,AVI,Q4618009B,UNIVERSITAT POLITECNICA DE VALENCIA,Departamento De Comunicaciones,University,University,39 28 52,0 21 30,VIGILANCIA MEDIANTE VISIÓN E INTELIGENCIA ARTIFICIAL EN ÁREAS INDUSTRIALES,108000,108000,706201.21,549202.49,1,2021
,,,,,,,,,,,,,,,
INNEST/2020/111,AVI,Q4618010B,UNIVERSITAT POLITECNICA DE VALENCIA,Departamento De Química,University,University,39 28 52,0 21 30,Valorización de residuos de carbón activo granular generados en el proceso de potabilización como carbocatalizador sostenible en procesos de ozonización del ciclo integral del agua,239583.44,239583.44,581895.44,418341.72,1,2020
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INNEST/2022/266,AVI,Q4618011B,UNIVERSITAT POLITECNICA DE VALENCIA,DICGF,University,University,39 28 52,0 21 30,MANEJO INTEGRADO DE FERTILIZACIÓN DEL AGUACATE AGUFERT,149500,149500,689948.58,623176.38,1,2022
